Cr,Ni,Mo,Mn,Si,Nb,Ti,Zr,Ta,V,W,Cu,N,C,B,P,S,Co,Al,Sn,Pb,Solution_treatment_temperature,Solution_treatment_time(s),Water_Quenched_after_s.t.,Air_Quenched_after_s.t.,Grains mm-2,Type of melting,Size of ingot,Product form,Temperature (K),0.2%proof_stress (M Pa),UTS (M Pa),Elongation (%),Area_reduction (%),Comments
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,298,280.0,610.0,67.0,83.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,373,243.0,508.0,54.0,83.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,473,220.0,472.0,44.0,81.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,573,204.0,470.0,43.0,76.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,673,197.0,470.0,45.0,76.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,773,197.0,443.0,40.0,73.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,823,172.0,425.0,44.0,75.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,873,162.0,391.0,43.0,73.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,923,167.0,314.0,47.0,63.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,973,150.0,256.0,52.0,65.0,NRIM/CDS/No4B/1986 ABA
18.7,10.69,0.47,1.56,0.62,0.01,0.04,0,0,0.0,0.0,0.17,0.031,0.062,0.0007,0.025,0.013,0.0,0.047,0,0,1403.0,,1.0,0.0,477.7128917,1.0,3.0,1,1023,148.0,223.0,60.0,67.0,NRIM/CDS/No4B/1986 ABA
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,298,265.0,610.0,69.0,82.0,NRIM/CDS/No4B/1986 ABB
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,373,235.0,496.0,57.0,82.0,NRIM/CDS/No4B/1986 ABB
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,473,208.0,453.0,43.0,78.0,NRIM/CDS/No4B/1986 ABB
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,573,183.0,453.0,44.0,72.0,NRIM/CDS/No4B/1986 ABB
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,673,193.0,454.0,45.0,73.0,NRIM/CDS/No4B/1986 ABB
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,773,169.0,426.0,42.0,72.0,NRIM/CDS/No4B/1986 ABB
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,823,172.0,408.0,39.0,70.0,NRIM/CDS/No4B/1986 ABB
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,873,148.0,374.0,43.0,73.0,NRIM/CDS/No4B/1986 ABB
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,923,155.0,322.0,47.0,63.0,NRIM/CDS/No4B/1986 ABB
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,973,138.0,259.0,61.0,60.0,NRIM/CDS/No4B/1986 ABB
18.34,10.15,0.36,1.52,0.41,0.005,0.064,0,0,0.0,0.0,0.19,0.029,0.054,0.001,0.031,0.02,0.0,0.01,0,0,1403.0,,1.0,0.0,315.1729698,1.0,3.0,1,1023,125.0,212.0,77.0,68.0,NRIM/CDS/No4B/1986 ABB
18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403.0,,1.0,0.0,274.3740064,1.0,3.0,1,298,245.0,590.0,69.0,82.0,NRIM/CDS/No4B/1986 ABC
18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403.0,,1.0,0.0,274.3740064,1.0,3.0,1,373,228.0,493.0,58.0,80.0,NRIM/CDS/No4B/1986 ABC
18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403.0,,1.0,0.0,274.3740064,1.0,3.0,1,473,202.0,452.0,45.0,76.0,NRIM/CDS/No4B/1986 ABC
18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403.0,,1.0,0.0,274.3740064,1.0,3.0,1,573,198.0,462.0,44.0,75.0,NRIM/CDS/No4B/1986 ABC
18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403.0,,1.0,0.0,274.3740064,1.0,3.0,1,673,187.0,455.0,44.0,71.0,NRIM/CDS/No4B/1986 ABC
18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403.0,,1.0,0.0,274.3740064,1.0,3.0,1,773,160.0,425.0,41.0,71.0,NRIM/CDS/No4B/1986 ABC
18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403.0,,1.0,0.0,274.3740064,1.0,3.0,1,823,166.0,409.0,40.0,73.0,NRIM/CDS/No4B/1986 ABC
18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403.0,,1.0,0.0,274.3740064,1.0,3.0,1,873,159.0,375.0,43.0,70.0,NRIM/CDS/No4B/1986 ABC
18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403.0,,1.0,0.0,274.3740064,1.0,3.0,1,923,152.0,324.0,47.0,64.0,NRIM/CDS/No4B/1986 ABC
18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403.0,,1.0,0.0,274.3740064,1.0,3.0,1,973,137.0,266.0,53.0,66.0,NRIM/CDS/No4B/1986 ABC
18.5,10.1,0.36,1.52,0.4,0.005,0.054,0,0,0.0,0.0,0.16,0.03,0.056,0.0011,0.03,0.016,0.0,0.012,0,0,1403.0,,1.0,0.0,274.3740064,1.0,3.0,1,1023,111.0,201.0,61.0,64.0,NRIM/CDS/No4B/1986 ABC
18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,,,,,207.9366135,1.0,3.0,1,298,265.0,610.0,73.0,82.0,NRIM/CDS/No4B/1986 ABD
18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,,,,,207.9366135,1.0,3.0,1,373,208.0,484.0,62.0,82.0,NRIM/CDS/No4B/1986 ABD
18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,,,,,207.9366135,1.0,3.0,1,473,196.0,452.0,47.0,80.0,NRIM/CDS/No4B/1986 ABD
18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,,,,,207.9366135,1.0,3.0,1,573,176.0,453.0,46.0,74.0,NRIM/CDS/No4B/1986 ABD
18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,,,,,207.9366135,1.0,3.0,1,673,166.0,448.0,47.0,73.0,NRIM/CDS/No4B/1986 ABD
18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,,,,,207.9366135,1.0,3.0,1,773,151.0,421.0,43.0,71.0,NRIM/CDS/No4B/1986 ABD
18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,,,,,207.9366135,1.0,3.0,1,823,158.0,401.0,43.0,74.0,NRIM/CDS/No4B/1986 ABD
18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,,,,,207.9366135,1.0,3.0,1,873,145.0,372.0,43.0,75.0,NRIM/CDS/No4B/1986 ABD
18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,,,,,207.9366135,1.0,3.0,1,923,135.0,317.0,47.0,75.0,NRIM/CDS/No4B/1986 ABD
18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,,,,,207.9366135,1.0,3.0,1,973,129.0,256.0,67.0,75.0,NRIM/CDS/No4B/1986 ABD
18.7,9.68,0.06,1.49,0.52,0.005,0.006,0,0,0.0,0.0,0.06,0.027,0.07,0.0013,0.023,0.006,0.0,0.01,0,0,,,,,207.9366135,1.0,3.0,1,1023,120.0,204.0,82.0,76.0,NRIM/CDS/No4B/1986 ABD
18.95,9.57,0.04,1.46,0.55,0.005,0.062,0,0,0.0,0.0,0.07,0.0278,0.07,0.0018,0.023,0.006,0.0,0.014,0,0,,,,,274.3740064,1.0,3.0,1,298,260.0,620.0,71.0,84.0,NRIM/CDS/No4B/1986 ABE
18.95,9.57,0.04,1.46,0.55,0.005,0.062,0,0,0.0,0.0,0.07,0.0278,0.07,0.0018,0.023,0.006,0.0,0.014,0,0,,,,,274.3740064,1.0,3.0,1,373,236.0,500.0,61.0,82.0,NRIM/CDS/No4B/1986 ABE
18.95,9.57,0.04,1.46,0.55,0.005,0.062,0,0,0.0,0.0,0.07,0.0278,0.07,0.0018,0.023,0.006,0.0,0.014,0,0,,,,,274.3740064,1.0,3.0,1,473,201.0,462.0,47.0,80.0,NRIM/CDS/No4B/1986 ABE
18.95,9.57,0.04,1.46,0.55,0.005,0.062,0,0,0.0,0.0,0.07,0.0278,0.07,0.0018,0.023,0.006,0.0,0.014,0,0,,,,,274.3740064,1.0,3.0,1,573,181.0,459.0,46.0,76.0,NRIM/CDS/No4B/1986 ABE
18.95,9.57,0.04,1.46,0.55,0.005,0.062,0,0,0.0,0.0,0.07,0.0278,0.07,0.0018,0.023,0.006,0.0,0.014,0,0,,,,,274.3740064,1.0,3.0,1,673,167.0,455.0,45.0,75.0,NRIM/CDS/No4B/1986 ABE
18.95,9.57,0.04,1.46,0.55,0.005,0.062,0,0,0.0,0.0,0.07,0.0278,0.07,0.0018,0.023,0.006,0.0,0.014,0,0,,,,,274.3740064,1.0,3.0,1,773,165.0,430.0,44.0,73.0,NRIM/CDS/No4B/1986 ABE
18.95,9.57,0.04,1.46,0.55,0.005,0.062,0,0,0.0,0.0,0.07,0.0278,0.07,0.0018,0.023,0.006,0.0,0.014,0,0,,,,,274.3740064,1.0,3.0,1,823,160.0,405.0,42.0,74.0,NRIM/CDS/No4B/1986 ABE
18.95,9.57,0.04,1.46,0.55,0.005,0.062,0,0,0.0,0.0,0.07,0.0278,0.07,0.0018,0.023,0.006,0.0,0.014,0,0,,,,,274.3740064,1.0,3.0,1,873,151.0,377.0,43.0,75.0,NRIM/CDS/No4B/1986 ABE
18.95,9.57,0.04,1.46,0.55,0.005,0.062,0,0,0.0,0.0,0.07,0.0278,0.07,0.0018,0.023,0.006,0.0,0.014,0,0,,,,,274.3740064,1.0,3.0,1,923,137.0,295.0,59.0,77.0,NRIM/CDS/No4B/1986 ABE
18.95,9.57,0.04,1.46,0.55,0.005,0.062,0,0,0.0,0.0,0.07,0.0278,0.07,0.0018,0.023,0.006,0.0,0.014,0,0,,,,,274.3740064,1.0,3.0,1,973,131.0,267.0,61.0,81.0,NRIM/CDS/No4B/1986 ABE
18.95,9.57,0.04,1.46,0.55,0.005,0.062,0,0,0.0,0.0,0.07,0.0278,0.07,0.0018,0.023,0.006,0.0,0.014,0,0,,,,,274.3740064,1.0,3.0,1,1023,119.0,185.0,74.0,83.0,NRIM/CDS/No4B/1986 ABE
18.25,9.8,0.06,1.34,0.62,0.005,0.02,0,0,0.0,0.0,0.05,0.0348,0.08,0.0017,0.021,0.006,0.0,0.013,0,0,,,,,588.1335578,1.0,3.0,1,298,280.0,650.0,71.0,83.0,NRIM/CDS/No4B/1986 ABF
18.25,9.8,0.06,1.34,0.62,0.005,0.02,0,0,0.0,0.0,0.05,0.0348,0.08,0.0017,0.021,0.006,0.0,0.013,0,0,,,,,588.1335578,1.0,3.0,1,373,244.0,523.0,60.0,80.0,NRIM/CDS/No4B/1986 ABF
18.25,9.8,0.06,1.34,0.62,0.005,0.02,0,0,0.0,0.0,0.05,0.0348,0.08,0.0017,0.021,0.006,0.0,0.013,0,0,,,,,588.1335578,1.0,3.0,1,473,213.0,492.0,45.0,79.0,NRIM/CDS/No4B/1986 ABF
18.25,9.8,0.06,1.34,0.62,0.005,0.02,0,0,0.0,0.0,0.05,0.0348,0.08,0.0017,0.021,0.006,0.0,0.013,0,0,,,,,588.1335578,1.0,3.0,1,573,192.0,491.0,46.0,76.0,NRIM/CDS/No4B/1986 ABF
18.25,9.8,0.06,1.34,0.62,0.005,0.02,0,0,0.0,0.0,0.05,0.0348,0.08,0.0017,0.021,0.006,0.0,0.013,0,0,,,,,588.1335578,1.0,3.0,1,673,187.0,489.0,50.0,73.0,NRIM/CDS/No4B/1986 ABF
18.25,9.8,0.06,1.34,0.62,0.005,0.02,0,0,0.0,0.0,0.05,0.0348,0.08,0.0017,0.021,0.006,0.0,0.013,0,0,,,,,588.1335578,1.0,3.0,1,773,182.0,459.0,42.0,73.0,NRIM/CDS/No4B/1986 ABF
18.25,9.8,0.06,1.34,0.62,0.005,0.02,0,0,0.0,0.0,0.05,0.0348,0.08,0.0017,0.021,0.006,0.0,0.013,0,0,,,,,588.1335578,1.0,3.0,1,823,169.0,437.0,45.0,73.0,NRIM/CDS/No4B/1986 ABF
18.25,9.8,0.06,1.34,0.62,0.005,0.02,0,0,0.0,0.0,0.05,0.0348,0.08,0.0017,0.021,0.006,0.0,0.013,0,0,,,,,588.1335578,1.0,3.0,1,873,161.0,408.0,43.0,76.0,NRIM/CDS/No4B/1986 ABF
18.25,9.8,0.06,1.34,0.62,0.005,0.02,0,0,0.0,0.0,0.05,0.0348,0.08,0.0017,0.021,0.006,0.0,0.013,0,0,,,,,588.1335578,1.0,3.0,1,923,150.0,337.0,49.0,76.0,NRIM/CDS/No4B/1986 ABF
18.25,9.8,0.06,1.34,0.62,0.005,0.02,0,0,0.0,0.0,0.05,0.0348,0.08,0.0017,0.021,0.006,0.0,0.013,0,0,,,,,588.1335578,1.0,3.0,1,973,141.0,280.0,57.0,78.0,NRIM/CDS/No4B/1986 ABF
18.25,9.8,0.06,1.34,0.62,0.005,0.02,0,0,0.0,0.0,0.05,0.0348,0.08,0.0017,0.021,0.006,0.0,0.013,0,0,,,,,588.1335578,1.0,3.0,1,1023,130.0,222.0,77.0,80.0,NRIM/CDS/No4B/1986 ABF
18.16,9.8,0.05,1.47,0.58,0.04,0.031,0,0,0.0,0.0,0.14,0.031,0.07,0.0003,0.022,0.013,0.0,0.015,0,0,1343.0,600.0,1.0,0.0,238.8564458,1.0,4.5,1,298,210.0,620.0,71.0,81.0,NRIM/CDS/No4B/1986 ABL
18.16,9.8,0.05,1.47,0.58,0.04,0.031,0,0,0.0,0.0,0.14,0.031,0.07,0.0003,0.022,0.013,0.0,0.015,0,0,1343.0,600.0,1.0,0.0,238.8564458,1.0,4.5,1,373,207.0,503.0,62.0,82.0,NRIM/CDS/No4B/1986 ABL
18.16,9.8,0.05,1.47,0.58,0.04,0.031,0,0,0.0,0.0,0.14,0.031,0.07,0.0003,0.022,0.013,0.0,0.015,0,0,1343.0,600.0,1.0,0.0,238.8564458,1.0,4.5,1,473,177.0,465.0,46.0,77.0,NRIM/CDS/No4B/1986 ABL
18.16,9.8,0.05,1.47,0.58,0.04,0.031,0,0,0.0,0.0,0.14,0.031,0.07,0.0003,0.022,0.013,0.0,0.015,0,0,1343.0,600.0,1.0,0.0,238.8564458,1.0,4.5,1,573,162.0,468.0,45.0,71.0,NRIM/CDS/No4B/1986 ABL
18.16,9.8,0.05,1.47,0.58,0.04,0.031,0,0,0.0,0.0,0.14,0.031,0.07,0.0003,0.022,0.013,0.0,0.015,0,0,1343.0,600.0,1.0,0.0,238.8564458,1.0,4.5,1,673,154.0,463.0,47.0,73.0,NRIM/CDS/No4B/1986 ABL
18.16,9.8,0.05,1.47,0.58,0.04,0.031,0,0,0.0,0.0,0.14,0.031,0.07,0.0003,0.022,0.013,0.0,0.015,0,0,1343.0,600.0,1.0,0.0,238.8564458,1.0,4.5,1,773,145.0,441.0,43.0,69.0,NRIM/CDS/No4B/1986 ABL
18.16,9.8,0.05,1.47,0.58,0.04,0.031,0,0,0.0,0.0,0.14,0.031,0.07,0.0003,0.022,0.013,0.0,0.015,0,0,1343.0,600.0,1.0,0.0,238.8564458,1.0,4.5,1,823,139.0,419.0,42.0,70.0,NRIM/CDS/No4B/1986 ABL
18.16,9.8,0.05,1.47,0.58,0.04,0.031,0,0,0.0,0.0,0.14,0.031,0.07,0.0003,0.022,0.013,0.0,0.015,0,0,1343.0,600.0,1.0,0.0,238.8564458,1.0,4.5,1,873,134.0,393.0,43.0,70.0,NRIM/CDS/No4B/1986 ABL
18.16,9.8,0.05,1.47,0.58,0.04,0.031,0,0,0.0,0.0,0.14,0.031,0.07,0.0003,0.022,0.013,0.0,0.015,0,0,1343.0,600.0,1.0,0.0,238.8564458,1.0,4.5,1,923,116.0,334.0,46.0,66.0,NRIM/CDS/No4B/1986 ABL
18.16,9.8,0.05,1.47,0.58,0.04,0.031,0,0,0.0,0.0,0.14,0.031,0.07,0.0003,0.022,0.013,0.0,0.015,0,0,1343.0,600.0,1.0,0.0,238.8564458,1.0,4.5,1,973,128.0,251.0,47.0,69.0,NRIM/CDS/No4B/1986 ABL
18.16,9.8,0.05,1.47,0.58,0.04,0.031,0,0,0.0,0.0,0.14,0.031,0.07,0.0003,0.022,0.013,0.0,0.015,0,0,1343.0,600.0,1.0,0.0,238.8564458,1.0,4.5,1,1023,108.0,220.0,75.0,74.0,NRIM/CDS/No4B/1986 ABL
18.24,10.27,0.32,1.56,0.61,0.03,0.036,0,0,0.0,0.0,0.16,0.038,0.09,0.0001,0.022,0.014,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.5,1,298,220.0,610.0,71.0,79.0,NRIM/CDS/No4B/1986 ABM
18.24,10.27,0.32,1.56,0.61,0.03,0.036,0,0,0.0,0.0,0.16,0.038,0.09,0.0001,0.022,0.014,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.5,1,373,209.0,508.0,59.0,79.0,NRIM/CDS/No4B/1986 ABM
18.24,10.27,0.32,1.56,0.61,0.03,0.036,0,0,0.0,0.0,0.16,0.038,0.09,0.0001,0.022,0.014,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.5,1,473,183.0,471.0,46.0,76.0,NRIM/CDS/No4B/1986 ABM
18.24,10.27,0.32,1.56,0.61,0.03,0.036,0,0,0.0,0.0,0.16,0.038,0.09,0.0001,0.022,0.014,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.5,1,573,158.0,473.0,47.0,71.0,NRIM/CDS/No4B/1986 ABM
18.24,10.27,0.32,1.56,0.61,0.03,0.036,0,0,0.0,0.0,0.16,0.038,0.09,0.0001,0.022,0.014,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.5,1,673,145.0,468.0,47.0,71.0,NRIM/CDS/No4B/1986 ABM
18.24,10.27,0.32,1.56,0.61,0.03,0.036,0,0,0.0,0.0,0.16,0.038,0.09,0.0001,0.022,0.014,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.5,1,773,148.0,447.0,44.0,70.0,NRIM/CDS/No4B/1986 ABM
18.24,10.27,0.32,1.56,0.61,0.03,0.036,0,0,0.0,0.0,0.16,0.038,0.09,0.0001,0.022,0.014,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.5,1,823,143.0,432.0,43.0,68.0,NRIM/CDS/No4B/1986 ABM
18.24,10.27,0.32,1.56,0.61,0.03,0.036,0,0,0.0,0.0,0.16,0.038,0.09,0.0001,0.022,0.014,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.5,1,873,145.0,397.0,42.0,65.0,NRIM/CDS/No4B/1986 ABM
18.24,10.27,0.32,1.56,0.61,0.03,0.036,0,0,0.0,0.0,0.16,0.038,0.09,0.0001,0.022,0.014,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.5,1,923,129.0,347.0,46.0,65.0,NRIM/CDS/No4B/1986 ABM
18.24,10.27,0.32,1.56,0.61,0.03,0.036,0,0,0.0,0.0,0.16,0.038,0.09,0.0001,0.022,0.014,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.5,1,973,119.0,275.0,53.0,62.0,NRIM/CDS/No4B/1986 ABM
18.24,10.27,0.32,1.56,0.61,0.03,0.036,0,0,0.0,0.0,0.16,0.038,0.09,0.0001,0.022,0.014,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.5,1,1023,114.0,231.0,62.0,71.0,NRIM/CDS/No4B/1986 ABM
18.18,10.26,0.31,1.58,0.6,0.04,0.04,0,0,0.0,0.0,0.12,0.028,0.07,0.0008,0.022,0.012,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.8,1,298,230.0,620.0,72.0,80.0,NRIM/CDS/No4B/1986 ABN
18.18,10.26,0.31,1.58,0.6,0.04,0.04,0,0,0.0,0.0,0.12,0.028,0.07,0.0008,0.022,0.012,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.8,1,373,239.0,505.0,59.0,80.0,NRIM/CDS/No4B/1986 ABN
18.18,10.26,0.31,1.58,0.6,0.04,0.04,0,0,0.0,0.0,0.12,0.028,0.07,0.0008,0.022,0.012,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.8,1,473,172.0,472.0,47.0,76.0,NRIM/CDS/No4B/1986 ABN
18.18,10.26,0.31,1.58,0.6,0.04,0.04,0,0,0.0,0.0,0.12,0.028,0.07,0.0008,0.022,0.012,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.8,1,573,159.0,476.0,46.0,72.0,NRIM/CDS/No4B/1986 ABN
18.18,10.26,0.31,1.58,0.6,0.04,0.04,0,0,0.0,0.0,0.12,0.028,0.07,0.0008,0.022,0.012,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.8,1,673,160.0,477.0,47.0,68.0,NRIM/CDS/No4B/1986 ABN
18.18,10.26,0.31,1.58,0.6,0.04,0.04,0,0,0.0,0.0,0.12,0.028,0.07,0.0008,0.022,0.012,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.8,1,773,155.0,454.0,44.0,68.0,NRIM/CDS/No4B/1986 ABN
18.18,10.26,0.31,1.58,0.6,0.04,0.04,0,0,0.0,0.0,0.12,0.028,0.07,0.0008,0.022,0.012,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.8,1,823,140.0,438.0,44.0,71.0,NRIM/CDS/No4B/1986 ABN
18.18,10.26,0.31,1.58,0.6,0.04,0.04,0,0,0.0,0.0,0.12,0.028,0.07,0.0008,0.022,0.012,0.0,0.014,0,0,1343.0,600.0,1.0,0.0,256.0,1.0,4.8,1,873,131.0,395.0,47.0,69.0,NRIM/CDS/No4B/1986 ABN
