target,model,threshold_k,n_samples,high_temp_rmse,high_temp_mae,high_temp_r2
proof_stress_mpa,random_forest,800.0,163,16.589012737533245,12.338645836421449,0.7368824599720545
proof_stress_mpa,extra_trees,800.0,163,17.81139423402883,12.816592213938362,0.6966775525286228
proof_stress_mpa,gradient_boosting,800.0,163,19.519466523210934,14.403334517194919,0.6357122168074844
uts_mpa,extra_trees,800.0,163,28.674608272913478,16.06763390360855,0.8782308659797129
uts_mpa,random_forest,800.0,163,27.895641671538094,16.539710401658365,0.8847568974719917
uts_mpa,gradient_boosting,800.0,163,28.98646861406248,16.614109027840932,0.875567780363693
