target,model,cv_best_rmse,test_rmse,test_mae,test_r2
proof_stress_mpa,random_forest,17.385614334825313,20.65927222149115,15.447208192778808,0.8118720421396257
proof_stress_mpa,extra_trees,20.505012655154882,21.383501715610684,15.900280513332001,0.798450856771671
proof_stress_mpa,gradient_boosting,11.98814689134808,22.925272176349036,17.155764755244025,0.7683393312971538
uts_mpa,extra_trees,25.27262687090223,24.74067310466662,16.26140258670106,0.9306974811780583
uts_mpa,random_forest,25.944790099360386,25.70494227480884,17.110779619365598,0.9251900674435352
uts_mpa,gradient_boosting,23.411483794747827,26.675996003406354,17.70776686934248,0.9194311277454387
